1, que, cj, that
2, um, at, a/an
3, o, at, the
4, em, prp, in/on
5, por, prp, by/for
6, de, prp, of/from
7, ser, v, to be
8, a, prp, to
9, para, prp, for/to
10, e, cj, and
11, o, pn, it/him
12, com, prp, with
13, mas, cj, but
14, seu, aj, your/his/her
15, como, cj/av, as/like
16, ter, v, to have
17, se, pn, oneself
18, estar, v, to be
19, mais, aj/av, more
20, não, av, not
21, ir, v, to go
22, este, aj, this
23, fazer, v, to do/make
24, ou, cj, or
25, haver, v, to have (existential)
26, poder, v, to be able/can
27, ele, pn, he/it
28, outro, aj, other/another
29, muito, aj/av, much/very
30, esse, aj, that
31, já, av, already
32, quando, cj/av, when
33, também, av, also
34, eu, pn, I
35, ano, nm, year
36, dar, v, to give
37, mesmo, aj, same
38, todo, aj, all/every
39, ver, v, to see
40, dizer, v, to say
41, dois, num, two
42, isso, pn, this/it
43, ela, pn, she/it
44, vez, nf, time (instance)
45, entre, prp, between/among
46, ainda, av, still
47, até, prp, until
48, depois, av, after
49, grande, aj, large/great
50, algum, aj, some
51, tempo, nm, time
52, só, av, only/just
53, pessoa, nf, person
54, vir, v, to come
55, sem, prp, without
56, porque, cj, because
57, bem, av, well
58, novo, aj, new
59, querer, v, to want
60, dia, nm, day
61, aquele, aj, that
62, onde, av, where
63, meu, aj, my
64, primeiro, aj/av, first
65, saber, v, to know
66, dever, v, must/should
67, passar, v, to pass
68, assim, av, thus/like this
69, ficar, v, to stay/become
70, sobre, prp, on/about
71, deixar, v, to leave/let
72, sempre, av, always
73, nosso, aj, our
74, casa, nf, house
75, quem, pn, who
76, lhe, pn, him/her/it/to him/to her
77, trabalho, nm, work
78, homem, nm, man
79, tudo, pn, everything
80, vida, nf, life
81, bom, aj, good
82, pois, cj, since/for
83, agora, av, now
84, qual, aj, which
85, chegar, v, to arrive
86, levar, v, to take/lead
87, parte, nf, part
88, coisa, nf, thing
89, então, av, so/then
90, pouco, aj/av, little/few
91, cidade, nf, city
92, forma, nf, form/shape
93, encontrar, v, to find
94, cada, aj, each
95, falar, v, to speak
96, aqui, av, here
97, melhor, aj/av, better
98, nem, cj, nor
99, partir, v, to leave/depart
100, maior, aj, bigger/larger
101, estado, nm, state
102, governo, nm, government
103, chamar, v, to call
104, se, cj, if
105, três, num, three
106, tanto, aj/av, so much
107, começar, v, to begin
108, segundo, n/aj/prp, second/according to
109, qualquer, pn, any
110, lado, nm, side
111, hoje, n/av, today
112, menos, aj/av, less
113, conseguir, v, to achieve
114, mundo, nm, world
115, caso, nm, case
116, pensar, v, to think
117, meio, n/aj/av, middle/half
118, próprio, aj, own
119, país, nm, country
120, apenas, av, only/just
121, português, na, Portuguese
122, certo, aj/av, certain/sure
123, nada, pn, nothing
124, tal, aj/av, such
125, público, na, public
126, isto, pn, this
127, pequeno, aj, small
128, direito, na, right
129, último, aj, last
130, parecer, v, to seem
131, você, pn, you
132, durante, prp, during
133, quanto, aj/av, how much
134, lá, av, there
135, problema, nm, problem
136, existir, v, to exist
137, tornar, v, to become
138, entrar, v, to enter
139, terra, nf, land/earth
140, antes, av, before
141, aí, av, there
142, contra, prp, against
143, mulher, nf, woman
144, exemplo, nm, example
145, desde, prp, since
146, conhecer, v, to know/meet
147, filho, nm, son
148, nome, nm, name
149, viver, v, to live
150, água, nf, water
151, história, nf, history
152, quatro, num, four
153, ideia, nf, idea
154, trabalhar, v, to work
155, além, av, beyond
156, criar, v, to create
157, dentro, av, inside
158, nunca, av, never
159, alto, na, high
160, tão, av, so
161, livro, nm, book
162, escrever, v, to write
163, tipo, nm, type
164, apresentar, v, to present
165, sair, v, to leave
166, lugar, nm, place
167, ponto, nm, point
168, grupo, nm, group
169, achar, v, to find/think
170, mil, num, thousand
171, tomar, v, to take
172, acabar, v, to finish
173, força, nf, force
174, hora, nf, hour
175, quase, av, almost
176, acontecer, v, to happen
177, enquanto, av, while
178, facto, nm, fact
179, momento, nm, moment
180, único, aj, only/unique
181, fim, nm, end
182, continuar, v, to continue
183, nenhum, aj, none
184, pai, nm, father
185, mês, nm, month
186, política, nf, policy/politics
187, considerar, v, to consider
188, nós, pn, we/us
189, obra, nf, work (as in artwork or construction)
190, sentir, v, to feel
191, tratar, v, to treat
192, pôr, v, to put
193, relação, nf, relation
194, família, nf, family
195, vários, aj, various
196, presidente, nm, president
197, voltar, v, to return
198, receber, v, to receive
199, perder, v, to lose
200, usar, v, to use
201, valor, nm, value
202, longo, aj, long
203, número, nm, number
204, processo, nm, process
205, conta, nf, account
206, trazer, v, to bring
207, nacional, aj, national
208, palavra, nf, word
209, questão, nf, question
210, definir, v, to define
211, tentar, v, to try
212, procurar, v, to look for
213, precisar, v, to need
214, seguir, v, to follow
215, preciso, aj, precise
216, próximo, aj, next
217, movimento, nm, movement
218, junto, aj/av, together
219, espécie, nf, species
220, pedir, v, to ask
221, volta, nf, turn
222, pagar, v, to pay
223, região, nf, region
224, aquilo, pn, that
225, esperar, v, to wait
226, humano, na, human
227, baixo, aj/av, low
228, professor, nm, teacher
229, noite, nf, night
230, mão, nf, hand
231, branco, aj, white
232, possível, aj, possible
233, aparecer, v, to appear
234, contar, v, to count/tell
235, campo, nm, field
236, condição, nf, condition
237, servir, v, to serve
238, música, nf, music
239, permitir, v, to allow
240, real, na, real
241, criança, nf, child
242, através, av, through
243, brasileiro, na, Brazilian
244, jornal, nm, newspaper
245, sociedade, nf, society
246, modo, nm, mode
247, rio, nm, river
248, acreditar, v, to believe
249, senhor, nm, sir
250, colocar, v, to place
251, entender, v, to understand
252, tarde, n/av, late
253, velho, aj, old
254, verdade, nf, truth
255, morrer, v, to die
256, diferente, aj, different
257, frente, nf, front
258, cinco, num, five
259, embora, cj, although
260, abrir, v, to open
261, social, aj, social
262, guerra, nf, war
263, causa, nf, cause
264, arte, nf, art
265, sim, av, yes
266, povo, nm, people
267, projecto, nm, project
268, sentido, nm, sense
269, gente, nf, people
270, manter, v, to maintain
271, forte, na, strong
272, século, nm, century
273, lei, nf, law
274, fundo, nm, bottom
275, geral, aj, general
276, altura, nf, height
277, escola, nf, school
278, papel, nm, paper
279, cabeça, nf, head
280, razão, nf, reason
281, importante, aj, important
282, cair, v, to fall
283, maneira, nf, way
284, antigo, aj, ancient
285, serviço, nm, service
286, final, na, final
