1, o, at, the, **o** cachorro, **the** dog
2, de, prp, of/from, Eu venho **de** São Paulo, I come **from** São Paulo.
3, em, prp, in/on, Ela está **em** casa, She is **at** home.
4, e, cj, and, Eu gosto de café **e** chá, I like coffee **and** tea.
5, que, cj, that, Acho **que** ele está ocupado, I think **that** he is busy.
6, ser, v, to be, Ele **é** médico, He **is** a doctor.
7, um, at, a/an, Eu quero **um** livro, I want **a** book.
8, por, prp, by/for, Este presente é **por** você, This gift is **for** you.
9, para, prp, for/to, Eu vou **para** a escola, I'm going **to** school.
10, a, prp, to, Eu vou **a** praia, I'm going **to** the beach.
11, não, av, not, Ele **não** está aqui, He is **not** here.
12, com, prp, with, Eu estou **com** fome, I am hungry.
13, ter, v, to have, Ela **tem** um carro, She **has** a car.
14, se, pn, oneself, Ele machucou-**se**, He hurt **himself**.
15, o, pn, it/him, Eu vi **o** filme, I watched **it**.
16, seu, aj, your/his/her, O cachorro perdeu **seu** brinquedo, The dog lost **its** toy.
17, como, cj/av, as/like, Ela canta **como** um pássaro, She sings **like** a bird.
18, estar, v, to be, Ele **está** feliz, He **is** happy.
19, mais, aj/av, more, Eu quero **mais** comida, I want **more** food.
20, mas, cj, but, Eu estou cansado **mas** ainda quero sair, I'm tired **but** I still want to go out.
21, fazer, v, to do/make, Vou **fazer** um bolo, I'm going to **make** a cake.
22, poder, v, to be able/can, Eu **posso** ajudar, I **can** help.
23, este, aj, this, Eu gosto **deste** carro, I like **this** car.
24, ou, cj, or, Você quer café **ou** chá?, Do you want coffee **or** tea?
25, ele, pn, he/it, **Ele** está correndo, **He** is running.
26, esse, aj, that, **Esse** carro é rápido, That car is fast.
27, outro, aj, other/another, Eu quero **outro** chocolate, I want **another** chocolate.
28, muito, aj/av, much/very, Ela é **muito** inteligente, She is **very** intelligent.
29, haver, v, to have (existential), Parece **haver** um engano, There seems **to be** a mistake.
30, ir, v, to go, Vamos **ir** ao parque, Let's **go** to the park.
31, todo, aj, all/every, **Todo** dia eu corro, I run **every** day.
32, eu, pn, I, **Eu** gosto de nadar, **I** like to swim.
33, já, av, already, Eu **já** comi, I have **already** eaten.
34, dizer, v, to say, Ela gosta de **dizer** piadas, She likes to **tell** jokes.
35, ano, nm, year, **Ano** passado foi difícil, Last **year** was tough., wired-flat-2613-calendar-subscription
36, dar, v, to give, Posso te **dar** um presente?, Can I **give** you a present?
37, também, av, also, Eu gosto de nadar **também** gosto de correr, I like swimming I **also** like running.
38, quando, cj/av, when, **Quando** você vai sair?, When are you leaving?
39, mesmo, aj, same, Nós temos o **mesmo** carro, We have the **same** car.
40, ver, v, to see, Eu quero **ver** o filme, I want to **see** the movie.
41, até, prp, until, Vou trabalhar **até** tarde hoje, I'm going to work **until** late today.
42, dois, num, two, Eu tenho **dois** cachorros, I have **two** dogs.
43, ainda, av, still, Eu **ainda** estou estudando, I am **still** studying.
44, isso, pn, this/it, **Isso** é interessante, **This** is interesting.
45, grande, aj, large/great, Ele é um homem **grande**, He is a **big** man.
46, vez, nf, time (instance), Esta é a primeira **vez** que eu venho aqui, This is the first **time** I've come here.
47, algum, aj, some, Eu tenho **algum** dinheiro, I have **some** money.
48, ela, pn, she/it, **Ela** é minha irmã, **She** is my sister.
49, depois, av, after, Nós vamos sair **depois** do jantar, We'll go out **after** dinner.
50, entre, prp, between/among, Estou **entre** dois lugares, I am **between** two places.
51, dia, nm, day, Hoje é um belo **dia**, Today is a beautiful **day**., wired-flat-804-sun
52, só, av, only/just, Eu quero café **só**, I want coffee **only**.
53, aquele, aj, that, **Aquele** livro é interessante, **That** book is interesting.
54, sobre, prp, on/about, Vamos conversar **sobre** o projeto, Let's talk **about** the project.
55, primeiro, aj/av, first, Esta é a **primeira** vez que faço isso, This is the **first** time I've done this.
56, ficar, v, to stay/become, Vou **ficar** em casa hoje, I'm going to **stay** home today.
57, dever, v, must/should, Você **deve** estudar para a prova, You **should** study for the test.
58, passar, v, to pass, Vou **passar** na sua casa depois, I'll **pass** by your house later.
59, saber, v, to know, Eu não **sei** a resposta, I don't **know** the answer.
60, assim, av, thus/like this, Faça **assim**, Do it **like this**.
61, querer, v, to want, Eu **quero** um novo celular, I **want** a new phone.
62, onde, av, where, **Onde** você está?, Where are you?
63, novo, aj, new, Eu comprei um carro **novo**, I bought a **new** car.
64, sem, prp, without, Eu vou **sem** você, I'll go **without** you.
65, vir, v, to come, Ele vai **vir** mais tarde, He will **come** later.
66, tempo, nm, time, Eu não tenho **tempo** agora, I don't have **time** now., wired-flat-472-hourglass
67, bem, av, well, Ele canta **bem**, He sings **well**.
68, porque, cj, because, Eu vou sair **porque** está tarde, I'm going out **because** it's late.
69, meu, aj, my, Este é **meu** livro, This is **my** book.
70, pessoa, nf, person, Ela é uma **pessoa** gentil, She is a kind **person**., wired-flat-269-avatar-female
71, coisa, nf, thing, O que é essa **coisa**?, What is this **thing**?
72, então, av, so/then, **Então** o que vamos fazer?, **So** what are we going to do?
73, quem, pn, who, **Quem** é aquela pessoa?, **Who** is that person?
74, sempre, av, always, Ele **sempre** chega cedo, He **always** arrives early.
75, qual, aj, which, **Qual** você prefere?, **Which** do you prefer?
76, chegar, v, to arrive, Ela vai **chegar** em breve, She will **arrive** soon.
77, vida, nf, life, A **vida** é bela, Life is beautiful.
78, pouco, aj/av, little/few, Eu tenho **pouco** dinheiro, I have **little** money.
79, homem, nm, man, Ele é um **homem** de negócios, He is a business **man**., wired-flat-701-mustache-beard
80, parte, nf, part, Esta é a melhor **parte**, This is the best **part**.
81, tudo, pn, everything, Ele fez **tudo** sozinho, He did **everything** by himself.
82, casa, nf, house, Minha **casa** é pequena, My **house** is small., wired-flat-1609-bungalow
83, agora, av, now, Vamos fazer isso **agora**, Let's do this **now**.
84, lhe, pn, him/her/it/to him/to her, Eu vou **lhe** enviar um e-mail, I will send **him/her** an email.
85, trabalho, nm, work, Eu tenho **trabalho** a fazer, I have **work** to do., wired-flat-187-suitcase
86, nosso, aj, our, Esta é a **nosso** casa, This is **our** house.
87, levar, v, to take/lead, Posso **levar** você até lá, Can I **take** you there?
88, pois, cj, since/for, Eu não fui à festa **pois** estava doente, I didn't go to the party **since** I was sick.
89, deixar, v, to leave/let, Você pode **deixar** a chave aqui, You can **leave** the key here.
90, bom, aj, good, Isso é uma **bom** ideia, That's a **good** idea.
91, começar, v, to begin, Vamos **começar** o trabalho, Let's **begin** the work.
92, próprio, aj, own, Ele tem seu **próprio** carro, He has his **own** car.
93, maior, aj, bigger/larger, Este é o **maior** edifício da cidade, This is the **largest** building in the city.
94, caso, nm, case, Em **caso** de emergência ligue para o 911, In **case** of emergency call 911.
95, falar, v, to speak, Eu gosto de **falar** espanhol, I like to **speak** Spanish.
96, país, nm, country, Meu **país** favorito é o Japão, My favorite **country** is Japan., wired-flat-469-flag
97, forma, nf, form/shape, Este gelo tem uma **forma** estranha, This ice has a strange **shape**., wired-flat-1421-rectangle
98, cada, aj, each, Nós recebemos um presente **cada** um, We received a present **each**.
99, hoje, n/av, today, Vamos sair para jantar **hoje**, Let's go out for dinner **today**.
100, nem, cj, nor, Ele não fala espanhol **nem** italiano, He doesn't speak Spanish **nor** Italian.
101, três, num, three, Eu tenho **três** irmãos, I have **three** brothers.
102, se, cj, if, **Se** chover não iremos ao parque, **If** it rains we won't go to the park.
103, encontrar, v, to find, Vou **encontrar** você na estação, I'll **find** you at the station.
104, meio, n/aj/av, middle/half, Estamos no **meio** da floresta, We are in the **middle** of the forest.
105, aqui, av, here, Estou **aqui** esperando por você, I'm **here** waiting for you.
106, mundo, nm, world, O **mundo** é grande e diverso, The **world** is big and diverse., wired-flat-735-world-globe
107, apenas, av, only/just, Ele precisa de **apenas** um minuto, He needs **just** one minute.
108, estado, nm, state, Eu moro no **estado** de Nova York, I live in the state of New York.
109, segundo, n/aj/prp, second/according to, **Segundo** o jornal haverá chuva amanhã, **According to** the newspaper there will be rain tomorrow.
110, qualquer, pn, any, Pode escolher **qualquer** um, You can choose **any** one.
111, cidade, nf, city, Nova York é uma grande **cidade**, New York is a big **city**., wired-flat-2053-stockholm-city
112, menos, aj/av, less, Preciso de **menos** açúcar no café, I need **less** sugar in my coffee.
113, governo, nm, government, O **governo** anunciou novas medidas, The **government** announced new measures., wired-flat-1921-parliament
114, partir, v, to leave/depart, Vamos **partir** cedo, Let's **leave** early.
115, conseguir, v, to achieve, Eu finalmente consegui **conseguir** um emprego, I finally managed to **get** a job.
116, tanto, aj/av, so much, Eu gosto **tanto** deste lugar, I like this place **so much**.
117, lado, nm, side, Ele está ao meu **lado**, He is by my **side**.
118, chamar, v, to call, Posso **chamar** você mais tarde?, Can I **call** you later?
119, melhor, aj/av, better, Esta é a **melhor** opção, This is the **best** option.
120, pensar, v, to think, Preciso **pensar** sobre isso, I need to **think** about it.
121, nome, nm, name, Qual é o seu **nome**?, What is your **name**?
122, isto, pn, this, **Isto** é interessante, **This** is interesting.
123, certo, aj/av, certain/sure, Tenho **certeza** de que está correto, I'm **sure** it's correct.
124, mulher, nf, woman, Ela é uma **mulher** forte, She is a strong **woman**., wired-flat-269-avatar-female
125, conhecer, v, to know/meet, Eu quero **conhecer** novas pessoas, I want to **meet** new people.
126, exemplo, nm, example, Deixe-me dar um **exemplo**, Let me give you an **example**.
127, existir, v, to exist, Acredita-se que vida possa **existir** em outros planetas, It is believed that life may **exist** on other planets.
128, antes, av, before, Devemos sair **antes** do amanhecer, We should leave **before** dawn.
129, tal, aj/av, such, Nunca vi **tal** coisa, I've never seen **such** a thing.
130, você, pn, you, **Você** é meu melhor amigo, **You** are my best friend.
